Type,Difficulty,Category,Question,Answer,Check
TRUE/FALSE,easy,General Knowledge,The Great Wall of China is visible from the moon.,FALSE,yes
TRUE/FALSE,easy,General Knowledge,Jingle Bells was originally meant for Thanksgiving,TRUE,yes
TRUE/FALSE,easy,General Knowledge,Nutella is produced by the German company Ferrero.,FALSE,yes
TRUE/FALSE,medium,General Knowledge,"The bikini is named after the ""Bikini Atoll"", an island where the United States conducted tests on atomic bombs.",TRUE,yes
TRUE/FALSE,easy,General Knowledge,French is an official language in Canada.,TRUE,yes
TRUE/FALSE,hard,General Knowledge,"In Scandinavian languages, the letter &Aring; means river.",TRUE,yes
TRUE/FALSE,hard,General Knowledge,"This is the correct spelling of ""Supercalifragilisticexpialidocious"".",TRUE,yes
TRUE/FALSE,easy,General Knowledge,The mitochondria is the powerhouse of the cell.,TRUE,yes
TRUE/FALSE,easy,General Knowledge,The Lego Group was founded in 1932.,TRUE,yes
TRUE/FALSE,medium,General Knowledge,"""Typewriter"" is the longest word that can be typed using only the first row on a QWERTY keyboard.",TRUE,yes
TRUE/FALSE,medium,General Knowledge,"The term ""Spam"" came before the food product ""Spam"".",FALSE,yes
TRUE/FALSE,easy,General Knowledge,Video streaming website YouTube was purchased in it';s entirety by Facebook for US$1.65 billion in stock.,FALSE,yes
TRUE/FALSE,medium,General Knowledge,Popcorn was invented in 1871 by Frederick W. Rueckheim in the USA where he sold the snack on the streets of Chicago.,FALSE,yes
TRUE/FALSE,hard,General Knowledge,"Stagecoach owned ""South West Trains"" before losing the rights to FirstGroup and MTR in March of 2017.",TRUE,yes
TRUE/FALSE,easy,General Knowledge,"On average, at least 1 person is killed by a drunk driver in the United States every hour.",TRUE,yes
TRUE/FALSE,medium,General Knowledge,Kissing someone for one minute burns about 2 calories.,TRUE,yes
TRUE/FALSE,medium,General Knowledge,"""Santa Claus"" is a variety of melon.",TRUE,yes
TRUE/FALSE,easy,General Knowledge,You can legally drink alcohol while driving in Mississippi.,TRUE,yes
TRUE/FALSE,medium,General Knowledge,The scientific name for the Southern Lights is Aurora Australis?,TRUE,yes
TRUE/FALSE,medium,General Knowledge,"""Buffalo buffalo Buffalo buffalo buffalo buffalo Buffalo buffalo."" is a grammatically correct sentence.",TRUE,yes
TRUE/FALSE,medium,General Knowledge,Fast food restaurant chains Carl';s Jr. and Hardee';s are owned by the same company.,TRUE,yes
TRUE/FALSE,easy,General Knowledge,"""Ananas"" is mostly used as the word for Pineapple in other languages.",TRUE,yes
TRUE/FALSE,medium,General Knowledge,The vapor produced by e-cigarettes is actually water.,FALSE,yes
TRUE/FALSE,easy,General Knowledge,Dihydrogen Monoxide was banned due to health risks after being discovered in 1983 inside swimming pools and drinking water.,FALSE,yes
TRUE/FALSE,easy,General Knowledge,It is automatically considered entrapment in the United States if the police sell you illegal substances without revealing themselves.,FALSE,yes
TRUE/FALSE,hard,General Knowledge,"""Number 16 Bus Shelter"" was a child';s name that was approved by the New Zealand government.",TRUE,yes
TRUE/FALSE,easy,General Knowledge,The color orange is named after the fruit.,TRUE,yes
TRUE/FALSE,easy,General Knowledge,A scientific study on peanuts in bars found traces of over 100 unique specimens of urine.,FALSE,yes
TRUE/FALSE,medium,General Knowledge,"The word ""news"" originates from the first letters of the 4 main directions on a compass (North, East, West, South).",FALSE,yes
TRUE/FALSE,medium,General Knowledge,Sitting for more than three hours a day can cut two years off a person';s life expectancy.,TRUE,yes
TRUE/FALSE,easy,General Knowledge,"When you cry in space, your tears stick to your face.",TRUE,yes
TRUE/FALSE,medium,General Knowledge,The British organisation CAMRA stands for The Campaign for Real Ale.,TRUE,yes
TRUE/FALSE,medium,General Knowledge,Cucumbers are usually more than 90% water.,TRUE,yes
TRUE/FALSE,medium,General Knowledge,The average woman is 5 inches / 13 centimeters shorter than the average man.,TRUE,yes
TRUE/FALSE,medium,General Knowledge,There are 86400 seconds in a day.,TRUE,yes
TRUE/FALSE,medium,General Knowledge,Haggis is traditionally ate on Burns Night.,TRUE,yes
TRUE/FALSE,easy,General Knowledge,"Romanian belongs to the Romance language family, shared with French, Spanish, Portuguese and Italian. ",TRUE,yes
TRUE/FALSE,medium,General Knowledge,"The French word for ""glass"" is ""glace"".",FALSE,yes
TRUE/FALSE,medium,General Knowledge,The US emergency hotline is 911 because of the September 11th terrorist attacks.,FALSE,yes
TRUE/FALSE,medium,General Knowledge,Francis Bacon died from a fatal case of pneumonia while he was attempting to preserve meat by stuffing a chicken with snow.,TRUE,yes
TRUE/FALSE,easy,General Knowledge,The Sun rises from the North.,FALSE,yes
TRUE/FALSE,easy,General Knowledge,"In 2010, Twitter and the United States Library of Congress partnered together to archive every tweet by American citizens.",TRUE,yes
TRUE/FALSE,hard,General Knowledge,"NCIS stands for ""Navy Corps Investigative Service""",FALSE,yes
TRUE/FALSE,easy,General Knowledge,"""27 Club"" is a term used to refer to a list of famous actors, musicians, and artists who died at the age of 27.",TRUE,yes
TRUE/FALSE,easy,General Knowledge,Bulls are attracted to the color red.,FALSE,yes
TRUE/FALSE,medium,General Knowledge,Instant mashed potatoes were invented by Canadian Edward Asselbergs in 1962.,TRUE,yes
TRUE/FALSE,medium,General Knowledge,The pickled gherkin was first added to hamburgers because a US health law required all fast-food to include a source of Vitamin C.,FALSE,yes
TRUE/FALSE,easy,General Knowledge,Adolf Hitler was born in Australia. ,FALSE,yes
TRUE/FALSE,easy,General Knowledge,The National Animal of Scotland is the Unicorn.,TRUE,yes
TRUE/FALSE,medium,General Knowledge,"The French word to travel is ""Travail""",FALSE,yes
TRUE/FALSE,hard,Entertainment: Books,"In Harry Potter and the Deathly Hallows, Hermione destroyed the fourth Horcrux by stabbing it with the Sword of Gryffindor.",FALSE,yes
TRUE/FALSE,hard,Entertainment: Books,"Harry Potter was born on July 31st, 1980.",TRUE,yes
TRUE/FALSE,easy,Entertainment: Books,"The ""Berenstein Bears"" is the correct spelling of the educational children';s book series'; name.",FALSE,yes
TRUE/FALSE,easy,Entertainment: Books,"""Green Eggs and Ham"" consists of only 50 different words.",TRUE,yes
TRUE/FALSE,easy,Entertainment: Books,Stephen Chbosky wrote the book ';The Perks of Being A Wallflower';.,TRUE,yes
TRUE/FALSE,easy,Entertainment: Books,"""Elementary, my dear Watson"" is a phrase that is never truly said within the Conan Doyle books of Sherlock Holmes.",TRUE,yes
TRUE/FALSE,easy,Entertainment: Books,"Shub-Niggurath is a creature that was created by 	J. R. R. Tolkien in his novel ""The Lord of The Rings"".",FALSE,yes
TRUE/FALSE,medium,Entertainment: Books,"Originally, the character Charlie from Charlie and the Chocolate Factory was going to be black.",TRUE,yes
TRUE/FALSE,easy,Entertainment: Books,The book 1984 was published in 1949.,TRUE,yes
TRUE/FALSE,easy,Entertainment: Books,"The Harry Potter series of books, combined, are over 1,000,000 words in length.",TRUE,yes
TRUE/FALSE,medium,Entertainment: Film,"The movie ""Tron"" received an Oscar nomination for Best Visual Effects.",FALSE,yes
TRUE/FALSE,easy,Entertainment: Film,"In the original Star Wars trilogy, Alec Guinness provided the voice for Darth Vader.",FALSE,yes
TRUE/FALSE,easy,Entertainment: Film,"Samuel L. Jackson had the words, ';Bad Motherf*cker'; in-scripted on his lightsaber during the filming of Star Wars.",TRUE,yes
TRUE/FALSE,easy,Entertainment: Film,"Brandon Routh plays the titular character in the movie ""John Wick"".",FALSE,yes
TRUE/FALSE,hard,Entertainment: Film,"The weapon Clint Eastwood uses in ""Dirty Harry"" was a .44 Automag.",FALSE,yes
TRUE/FALSE,easy,Entertainment: Film,Ewan McGregor did not know the name of the second prequel film of Star Wars during and after filming.,TRUE,yes
TRUE/FALSE,easy,Entertainment: Film,"Leonardo DiCaprio won an Oscar for Best Actor in 2004';s ""The Aviator"".",FALSE,yes
TRUE/FALSE,easy,Entertainment: Film,"The 2010 film ""The Social Network"" is a biographical drama film about MySpace founder Tom Anderson.",FALSE,yes
TRUE/FALSE,easy,Entertainment: Film,"In the original script of ""The Matrix"", the machines used humans as additional computing power instead of batteries.",TRUE,yes
TRUE/FALSE,hard,Entertainment: Film,"""Cube"", ""Cube 2: Hypercube"" and ""Cube Zero"" were directed by the same person.",FALSE,yes
TRUE/FALSE,medium,Entertainment: Film,The color of the pills in the Matrix were Blue and Yellow.,FALSE,yes
TRUE/FALSE,easy,Entertainment: Film,Actor Tommy Chong served prison time.,TRUE,yes
TRUE/FALSE,easy,Entertainment: Film,"""Minions"" was released on the June 10th, 2015.",FALSE,yes
TRUE/FALSE,easy,Entertainment: Film,Matt Damon played an astronaut stranded on an extraterrestrial planet in both of the movies Interstellar and The Martian.,TRUE,yes
TRUE/FALSE,easy,Entertainment: Film,"In the original Star Wars trilogy, David Prowse was the actor who physically portrayed Darth Vader.",TRUE,yes
TRUE/FALSE,easy,Entertainment: Film,In Alfred Hitchcock';s film ';Psycho'; it is said he used chocolate syrup to simulate the blood in the famous shower scene from ,TRUE,yes
TRUE/FALSE,medium,Entertainment: Film,"The Xenomorph from the science fiction film ""Alien"" has acidic blood.",TRUE,yes
TRUE/FALSE,medium,Entertainment: Film,"There aren';t any live-action clones in ""Star Wars: Episode III - Revenge of the Sith"".",TRUE,yes
TRUE/FALSE,easy,Entertainment: Film,"In the movie The Revenant, DiCaprio';s character hunts down the killer of his son.",TRUE,yes
TRUE/FALSE,easy,Entertainment: Film,"The movie ""The Nightmare before Christmas"" was all done with physical objects.",TRUE,yes
TRUE/FALSE,hard,Entertainment: Music,"The song ""Mystery Train"" was released by artist ""Little Junior';s Blue Flames"" in 1953.",TRUE,yes
TRUE/FALSE,easy,Entertainment: Music,"In 1993, Prince changed his name to an unpronounceable symbol because he was unhappy with his contract with Warner Bros.",TRUE,yes
TRUE/FALSE,easy,Entertainment: Music,American rapper Dr. Dre actually has a Ph.D. doctorate.,FALSE,yes
TRUE/FALSE,medium,Entertainment: Music,"3 members of 2 Live Crew were arrested for playing songs from their album, As Nasty As They Wanna Be, live.",TRUE,yes
TRUE/FALSE,medium,Entertainment: Music,EDM label Monstercat signs tracks instead of artists.,TRUE,yes
TRUE/FALSE,hard,Entertainment: Music,"Pete Townshend';s solo album, ""White City: A Novel"", is set in the metropolitan area of Chicago.",FALSE,yes
TRUE/FALSE,easy,Entertainment: Music,"The alternative rock band, They Might Be Giants, released their album ';Flood'; in 1990. ",TRUE,yes
TRUE/FALSE,easy,Entertainment: Music,Scatman John';s real name was John Paul Larkin.,TRUE,yes
TRUE/FALSE,easy,Entertainment: Music,Eurobeat is primarily an Italian genre of music.,TRUE,yes
TRUE/FALSE,medium,Entertainment: Music,Ashley Frangipane performs under the stage name Halsey.,TRUE,yes
TRUE/FALSE,medium,Entertainment: Music,"""The Division Bell"" is the final album of the progressive rock band Pink Floyd.",FALSE,yes
TRUE/FALSE,easy,Entertainment: Music,Stevie Wonder';s real name is Stevland Hardaway Morris.,TRUE,yes
TRUE/FALSE,medium,Entertainment: Music,Arcade Fire';s ';The Suburbs'; won the Album of the Year award in the 2011 Grammys.,TRUE,yes
TRUE/FALSE,hard,Entertainment: Music,The band STRFKR was also briefly known as Pyramiddd.,TRUE,yes
TRUE/FALSE,easy,Entertainment: Music,A Saxophone is a brass instrument.,FALSE,yes
TRUE/FALSE,medium,Entertainment: Music,Nick Mason is the only member to appear on every Pink Floyd album.,TRUE,yes
TRUE/FALSE,easy,Entertainment: Music,Muse is a British (English) rock band,TRUE,yes
TRUE/FALSE,medium,Entertainment: Music,Metallica collaborated with Rowan Atkinson';s Mr Bean on a 1992 comic relief single.,FALSE,yes
TRUE/FALSE,medium,Entertainment: Music,Soulja Boy';s ';Crank That'; won a Grammy for Best Rap Song in 2007.,FALSE,yes
TRUE/FALSE,easy,Entertainment: Music,Lead Singer Rivers Cuomo of American rock band Weezer attended Harvard.,TRUE,yes
TRUE/FALSE,medium,Entertainment: Music,"Dave Grohl recorded the Foo Fighters'; debut, ""Foo Fighters,"" by himself.",TRUE,yes
TRUE/FALSE,hard,Entertainment: Music,"The singer Billie Holiday was also known as ""Lady Day"".",TRUE,yes
TRUE/FALSE,medium,Entertainment: Music,"""Neutral Milk Hotel"" is a real band.",TRUE,yes
TRUE/FALSE,medium,Entertainment: Music,"The cover of The Beatles album ""Abbey Road"" featured a Volkswagen Beetle in the background.",TRUE,yes
TRUE/FALSE,medium,Entertainment: Music,"Scottish producer Calvin Harris is from the town of Dumfries, Scotland.",TRUE,yes
TRUE/FALSE,easy,Entertainment: Music,The music group Daft Punk got their name from a negative review they recieved.,TRUE,yes
TRUE/FALSE,easy,Entertainment: Music,"The music video to The Buggle';s ""Video Killed the Radio Star"" was the first music video to broadcast on MTV.",TRUE,yes
TRUE/FALSE,medium,Entertainment: Music,"Pink Guy';s debut album was ""Pink Season"".",FALSE,yes
TRUE/FALSE,medium,Entertainment: Music,"Green Day';s album ';American Idiot'; is considered a ""punk rock opera.""",TRUE,yes
TRUE/FALSE,medium,Entertainment: Music,"For his performance at ComplexCon 2016 in Long Beach, California, Skrillex revived his ""Mothership"" set piece for one night only.",TRUE,yes
TRUE/FALSE,easy,Entertainment: Video Games,"Big the Cat is a playable character in ""Sonic Generations"".",FALSE,yes
TRUE/FALSE,medium,Entertainment: Video Games,Metal Gear Solid V: The Phantom Pain runs on the Fox Engine.,TRUE,yes
TRUE/FALSE,easy,Entertainment: Video Games,"In ""Super Mario Bros."", the clouds and bushes have the same artwork and are just different colors.",TRUE,yes
TRUE/FALSE,easy,Entertainment: Video Games,Pac-Man was invented by the designer Toru Iwatani while he was eating pizza.,TRUE,yes
TRUE/FALSE,medium,Entertainment: Video Games,"In Rocket League, you can play Basketball.",TRUE,yes
TRUE/FALSE,easy,Entertainment: Video Games,"In Terraria, you can craft the Cell Phone pre-hardmode.",TRUE,yes
TRUE/FALSE,easy,Entertainment: Video Games,Nintendo';s Luigi was originally just called Green Mario?,FALSE,yes
TRUE/FALSE,easy,Entertainment: Video Games,"The game ""Jetpack Joyride"" was created by ""Redbrick Studios"".",FALSE,yes
TRUE/FALSE,easy,Entertainment: Video Games,"In Until Dawn, both characters Sam and Mike cannot be killed under any means until the final chapter of the game.",TRUE,yes
TRUE/FALSE,medium,Entertainment: Video Games,Amazon acquired Twitch in August 2014 for $970 million dollars.,TRUE,yes
TRUE/FALSE,hard,Entertainment: Video Games,"In ""Minecraft"", gold tools are faster than diamond tools.",TRUE,yes
TRUE/FALSE,easy,Entertainment: Video Games,"""Half-Life 2"" runs on the Source Engine.",TRUE,yes
TRUE/FALSE,medium,Entertainment: Video Games,"In Monster Hunter Generations, guild style is a type of hunting style.",TRUE,yes
TRUE/FALSE,easy,Entertainment: Video Games,"In RuneScape, one must complete the ""Dragon Slayer"" quest before equipping Rune Platelegs.",FALSE,yes
TRUE/FALSE,medium,Entertainment: Video Games,"In the game ""Until Dawn"" Emily is the only playable character who can be killed by another playable character directly.",TRUE,yes
