Type,Difficulty,Category,Question,Answer,Check
TRUE/FALSE,easy,Entertainment: Video Games,"The ghosts in ""Pac-Man"" and ""Ms. Pac-Man"" have completely different behavior.",TRUE,yes
TRUE/FALSE,medium,Entertainment: Video Games,"In ""League of Legends"", there exists four different types of Dragon.",FALSE,yes
TRUE/FALSE,medium,Entertainment: Video Games,"TF2: The Heavy';s voice actor, Gary Schwartz, voices the Demoman as well ",TRUE,yes
TRUE/FALSE,medium,Entertainment: Video Games,"During pre-production of ""Super Mario Bros."", Mario originally was meant to shoot bullets.",TRUE,yes
TRUE/FALSE,easy,Entertainment: Video Games,"The song ""Megalovania"" by Toby Fox made its third appearence in the 2015 RPG ""Undertale"".",TRUE,yes
TRUE/FALSE,easy,Entertainment: Video Games,"The ultimate phrase used by Pharah from Overwatch is: ""Justice rains from above!""",TRUE,yes
TRUE/FALSE,easy,Entertainment: Video Games,"In Sonic the Hedgehog universe, Tails'; real name is Miles Prower.",TRUE,yes
TRUE/FALSE,easy,Entertainment: Video Games,"The game ""Pocket Morty"" has a Morty called ""Pocket Mortys Morty""?",TRUE,yes
TRUE/FALSE,easy,Entertainment: Video Games,"There are 6 legendary cards in ""Clash Royale"".",FALSE,yes
TRUE/FALSE,easy,Entertainment: Video Games,"In ""Super Mario 64"", collecting 100 coins on a level will give you a 1-UP.",FALSE,yes
TRUE/FALSE,easy,Entertainment: Video Games,"In ""Super Mario 3D World"", the Double Cherry power-up originated from a developer accidentally making two characters controllable.",TRUE,yes
TRUE/FALSE,easy,Entertainment: Video Games,"The names of Tom Nook';s cousins in the Animal Crossing franchise are named ""Timmy"" and ""Jimmy"".",FALSE,yes
TRUE/FALSE,medium,Entertainment: Video Games,Resident Evil 4 was originally meant to be a Nintendo GameCube exclusive.,TRUE,yes
TRUE/FALSE,easy,Entertainment: Video Games,Luigi is taller than Mario?,TRUE,yes
TRUE/FALSE,easy,Entertainment: Video Games,"In the video game ""Splatoon"", the playable characters were originally going to be rabbits instead of squids.",TRUE,yes
TRUE/FALSE,hard,Entertainment: Video Games,Unturned originally started as a Roblox game.,TRUE,yes
TRUE/FALSE,easy,Entertainment: Video Games,"In Resident Evil 4, the Chicago Typewriter has infinite ammo.",TRUE,yes
TRUE/FALSE,medium,Entertainment: Video Games,"In ""Overwatch,"" an allied McCree will say ""Step right up"" upon using his ultimate ability Deadeye.",TRUE,yes
TRUE/FALSE,easy,Entertainment: Video Games,"In the Monster Hunter Series, it is possible to capture Elder Dragons.",FALSE,yes
TRUE/FALSE,easy,Entertainment: Video Games,"In ""Undertale"", the main character of the game is Sans.",FALSE,yes
TRUE/FALSE,hard,Entertainment: Video Games,"In ""Call Of Duty: World At War"", the first appearance of the ""PPSH-41"" in ""Zombies"" was in the map ""Der Riese"".",FALSE,yes
TRUE/FALSE,easy,Entertainment: Video Games,"The Mann Co. Store from Team Fortress 2 has the slogan ""We hire mercenaries and get in fights"".",FALSE,yes
TRUE/FALSE,easy,Entertainment: Video Games,"In Team Fortress 2, being disguised as a scout or medic results in a speed boost.",FALSE,yes
TRUE/FALSE,hard,Entertainment: Video Games,"In Undertale, having a ""Fun Value"" set to 56-57 will play the ""Wrong Number Song Call"".",FALSE,yes
TRUE/FALSE,hard,Entertainment: Video Games,"All of these maps were in ""Tom Clancy';s Rainbow Six Siege"" on its initial release: House, Clubhouse, Border, Consulate.",FALSE,yes
TRUE/FALSE,medium,Entertainment: Video Games,Pistons were added to Minecraft in Beta 1.5.,FALSE,yes
TRUE/FALSE,easy,Entertainment: Video Games,Solid Snake is actually a clone from the DNA of Big Boss in the Metal Gear Solid series'; history.,TRUE,yes
TRUE/FALSE,medium,Entertainment: Video Games,The ADAM collecters in the Bioshock series are known as Little Sisters.,TRUE,yes
TRUE/FALSE,medium,Entertainment: Video Games,"In the game ""Subnautica"", a ""Cave Crawler"" will attack you.",TRUE,yes
TRUE/FALSE,medium,Entertainment: Video Games,"In ""Starbound"", the track played by the Decorated Music Box is named ""Atlas"".",TRUE,yes
TRUE/FALSE,easy,Entertainment: Video Games,"In Pok&eacute;mon Sun and Moon, a male Salandit can evolve to a Salazzle.",FALSE,yes
TRUE/FALSE,easy,Entertainment: Video Games,"In ""Sonic Adventure"", you are able to transform into Super Sonic at will after completing the main story.",FALSE,yes
TRUE/FALSE,easy,Entertainment: Video Games,"The Konami Code is known as Up, Up, Down, Down, Left, Right, Right, Left, B, A, Start.",FALSE,yes
TRUE/FALSE,easy,Entertainment: Video Games,"The main character in the ""Half-Life"" franchise is named Morgan Freeman.",FALSE,yes
TRUE/FALSE,easy,Entertainment: Video Games,"""Resident Evil 7"" is the first first-person Resident Evil game.",FALSE,yes
TRUE/FALSE,medium,Science &amp; Nature,"""Tachycardia"" or ""Tachyarrhythmia"" refers to a resting heart-rate near or over 100 BPM.",TRUE,yes
TRUE/FALSE,medium,Science &amp; Nature,The planet Mars has two moons orbiting it.,TRUE,yes
TRUE/FALSE,medium,Science &amp; Nature,Type 1 diabetes is a result of the liver working improperly.,FALSE,yes
TRUE/FALSE,medium,Science &amp; Nature,Pneumonoultramicroscopicsilicovolcanoconiosis is a synonym for the disease known as silicosis.,TRUE,yes
TRUE/FALSE,medium,Science &amp; Nature,Anatomy considers the forms of macroscopic structures such as organs and organ systems.,TRUE,yes
TRUE/FALSE,medium,Science &amp; Nature,"Like with the Neanderthals, Homo sapiens sapiens also interbred with the Denisovans.",TRUE,yes
TRUE/FALSE,easy,Science &amp; Nature,Igneous rocks are formed by excessive heat and pressure.,FALSE,yes
TRUE/FALSE,easy,Science &amp; Nature,"Water always boils at 100&deg;C, 212&deg;F, 373.15K, no matter where you are.",FALSE,yes
TRUE/FALSE,medium,Science &amp; Nature,A person can get sunburned on a cloudy day.,TRUE,yes
TRUE/FALSE,medium,Science &amp; Nature,"The ""Gympie Stinger"" is the deadliest plant in the world.",FALSE,yes
TRUE/FALSE,hard,Science &amp; Nature,The value of one Calorie is different than the value of one calorie.,TRUE,yes
TRUE/FALSE,medium,Science &amp; Nature,"In the periodic table, Potassium';s symbol is the letter K.",TRUE,yes
TRUE/FALSE,hard,Science &amp; Nature,It was once believed that injecting shark cartilage into people would prevent them from contracting cancer.,TRUE,yes
TRUE/FALSE,medium,Science &amp; Nature,"Scientists accidentally killed the once known world';s oldest living creature, a mollusc, known to be aged as 507 years old.",TRUE,yes
TRUE/FALSE,medium,Science &amp; Nature,A defibrillator is used to start up a heartbeat once a heart has stopped beating.,FALSE,yes
TRUE/FALSE,medium,Science &amp; Nature,Steel is an alloy of Iron and Carbon.,TRUE,yes
TRUE/FALSE,easy,Science &amp; Nature,An atom contains a nucleus.,TRUE,yes
TRUE/FALSE,medium,Science &amp; Nature,The Doppler effect applies to light.,TRUE,yes
TRUE/FALSE,easy,Science &amp; Nature,A plant that has a life cycle for more than a year is known as an annual.,FALSE,yes
TRUE/FALSE,easy,Science &amp; Nature,An Astronomical Unit is the distance between Earth and the Moon.,FALSE,yes
TRUE/FALSE,medium,Science: Computers,All program codes have to be compiled into an executable file in order to be run. This file can then be executed on any machine.,FALSE,yes
TRUE/FALSE,easy,Science: Computers,"""HTML"" stands for Hypertext Markup Language.",TRUE,yes
TRUE/FALSE,medium,Science: Computers,"FLAC stands for ""Free Lossless Audio Condenser""';",FALSE,yes
TRUE/FALSE,easy,Science: Computers,Linux was first created as an alternative to Windows XP.,FALSE,yes
TRUE/FALSE,easy,Science: Computers,Ada Lovelace is often considered the first computer programmer.,TRUE,yes
TRUE/FALSE,medium,Science: Computers,"The common software-programming acronym ""I18N"" comes from the term ""Interlocalization"".",FALSE,yes
TRUE/FALSE,medium,Science: Computers,The last Windows operating system to be based on the Windows 9x kernel was Windows 98.,FALSE,yes
TRUE/FALSE,hard,Science: Computers,DHCP stands for Dynamic Host Configuration Port.,FALSE,yes
TRUE/FALSE,medium,Science: Computers,"The very first recorded computer ""bug"" was a moth found inside a Harvard Mark II computer.",TRUE,yes
TRUE/FALSE,easy,Science: Computers,Pointers were not used in the original C programming language; they were added later on in C++.,FALSE,yes
TRUE/FALSE,easy,Science: Computers,The Windows ME operating system was released in the year 2000.,TRUE,yes
TRUE/FALSE,easy,Science: Computers,RAM stands for Random Access Memory.,TRUE,yes
TRUE/FALSE,medium,Science: Computers,"A TRUE/FALSE value of ""0"" represents which of these words?",FALSE,yes
TRUE/FALSE,medium,Science: Computers,It';s not possible to format a write-protected DVD-R Hard Disk.,TRUE,yes
TRUE/FALSE,easy,Science: Computers,"The Python programming language gets its name from the British comedy group ""Monty Python.""",TRUE,yes
TRUE/FALSE,easy,Science: Computers,Linus Torvalds created Linux and Git.,TRUE,yes
TRUE/FALSE,medium,Science: Computers,"Linus Sebastian is the creator of the Linux kernel, which went on to be used in Linux, Android, and Chrome OS.",FALSE,yes
TRUE/FALSE,medium,Science: Computers,The HTML5 standard was published in 2014.,TRUE,yes
TRUE/FALSE,easy,Science: Computers,Time on Computers is measured via the EPOX System.,FALSE,yes
TRUE/FALSE,easy,Science: Computers,The Windows 7 operating system has six main editions.,TRUE,yes
TRUE/FALSE,easy,Geography,Tokyo is the capital of Japan.,TRUE,yes
TRUE/FALSE,medium,Geography,Antarctica is the largest desert in the world.,TRUE,yes
TRUE/FALSE,medium,Geography,The Sonoran Desert is located in eastern Africa.,FALSE,yes
TRUE/FALSE,medium,Geography,The capital of the US State Ohio is the city of Chillicothe.,FALSE,yes
TRUE/FALSE,medium,Geography,Is Tartu the capital of Estonia?,FALSE,yes
TRUE/FALSE,hard,Geography,The two largest ethnic groups of Belgium are Flemish and Walloon. ,TRUE,yes
TRUE/FALSE,easy,Geography,Greenland is covered with grass and Iceland covered with ice.,FALSE,yes
TRUE/FALSE,easy,Geography,Nova Scotia is on the east coast of Canada.,TRUE,yes
TRUE/FALSE,easy,Geography,There are no deserts in Europe.,TRUE,yes
TRUE/FALSE,easy,Geography,"Rhode Island is actually located on the US mainland, despite its name.",TRUE,yes
TRUE/FALSE,easy,Geography,California is larger than Japan.,TRUE,yes
TRUE/FALSE,easy,Geography,St. Louis is the capital of the US State Missouri.,FALSE,yes
TRUE/FALSE,medium,Geography,The Southeast Asian island of Borneo is politically divided among 3 countries.,TRUE,yes
TRUE/FALSE,easy,Geography,New Haven is the capital city of the state of Connecticut in the United States.,FALSE,yes
TRUE/FALSE,hard,Geography,"Switzerland has four national languages, English being one of them.",FALSE,yes
TRUE/FALSE,easy,Geography,Vatican City is a country.,TRUE,yes
TRUE/FALSE,medium,Geography,Gothenburg is the capital of Sweden.,FALSE,yes
TRUE/FALSE,easy,Geography,Hungary is the only country in the world beginning with H.,FALSE,yes
TRUE/FALSE,medium,Geography,"There exists an island named ""Java"".",TRUE,yes
TRUE/FALSE,medium,Geography,Japan has left-hand side traffic.,TRUE,yes
TRUE/FALSE,easy,Geography,Alaska is the largest state in the United States.,TRUE,yes
TRUE/FALSE,easy,Geography,San Marino is the only country completely surrounded by another country.,FALSE,yes
TRUE/FALSE,medium,Geography,"The title of the 1969 film ""Krakatoa, East_of Java"" is incorrect, as Krakatoa is in fact west of Java.",TRUE,yes
TRUE/FALSE,medium,Geography,"""Mongolia"" was a part of the now non-existent U.S.S.R.",FALSE,yes
TRUE/FALSE,medium,Geography,You could walk from Norway to North Korea while only passing through Russia.,TRUE,yes
TRUE/FALSE,easy,Geography,A group of islands is called an ';archipelago';.,TRUE,yes
TRUE/FALSE,medium,Geography,Seoul is the capital of North Korea.,FALSE,yes
TRUE/FALSE,medium,Geography,Liechtenstein does not have an airport.,TRUE,yes
TRUE/FALSE,easy,Geography,Ottawa is the capital of Canada.,TRUE,yes
TRUE/FALSE,easy,Geography,"There is an island in Japan called ÅŒkunoshima, A.K.A. ""Rabbit Island"", so named because of it';s huge population of rabbits.",TRUE,yes
TRUE/FALSE,medium,Geography,"There are no roads in/out of Juneau, Alaska.",TRUE,yes
TRUE/FALSE,medium,Geography,The flag of South Africa features 7 colours.,FALSE,yes
TRUE/FALSE,easy,Geography,Greenland is almost as big as Africa.,FALSE,yes
TRUE/FALSE,easy,Geography,Toronto is the capital city of the North American country of Canada.,FALSE,yes
TRUE/FALSE,medium,Geography,"The longest place named in the United States is Lake Chargoggagoggmanchauggagoggchaubunagungamaugg, located near Webster, MA.",TRUE,yes
TRUE/FALSE,medium,Geography,Vietnam is the only country in the world that starts with V. ,FALSE,yes
TRUE/FALSE,easy,Geography,The Republic of Malta is the smallest microstate worldwide.,FALSE,yes
TRUE/FALSE,medium,Geography,The surface area of Russia is slightly larger than that of the dwarf planet Pluto.,TRUE,yes
TRUE/FALSE,hard,Geography,Only one country in the world starts with the letter Q.,TRUE,yes
TRUE/FALSE,easy,Geography,There is a city called Rome in every continent on Earth.,FALSE,yes
TRUE/FALSE,hard,History,The fourth funnel of the RMS Titanic was fake designed to make the ship look more powerful and symmetrical.,TRUE,yes
TRUE/FALSE,medium,History,"Sargon II, a king of the Neo-Assyrian Empire, was a direct descendant of Sargon of Akkad.",FALSE,yes
TRUE/FALSE,easy,History,Former United States Presidents John Adams and Thomas Jefferson died within hours of each other.,TRUE,yes
TRUE/FALSE,hard,History,Japan was part of the Allied Powers during World War I.,TRUE,yes
TRUE/FALSE,easy,History,"In World War ll, Great Britian used inflatable tanks on the ports of Great Britain to divert Hitler away from Normandy/D-day landing.",TRUE,yes
TRUE/FALSE,easy,History,Thomas Crapper was a plumber who invented the flushing toilet.,FALSE,yes
TRUE/FALSE,medium,History,Abraham Lincoln was the first U.S. President to be born outside the borders of the thirteen original states. ,TRUE,yes
TRUE/FALSE,easy,History,Adolf Hitler was tried at the Nuremberg trials.,FALSE,yes
TRUE/FALSE,medium,History,"Sir Issac Newton served as a Member of Parliament, but the only recorded time he spoke was to complain about a draft in the chambers.",TRUE,yes
TRUE/FALSE,medium,History,The M41 Walker Bulldog remains in service in some countries to this day.,TRUE,yes
TRUE/FALSE,hard,History,The Kingdom of Prussia briefly held land in Estonia.,FALSE,yes
TRUE/FALSE,medium,History,"In World War II, Hawker Typhoons served in the Pacific theater.",FALSE,yes
TRUE/FALSE,medium,History,The two atomic bombs dropped on Japan by the United States in August 1945 were named ';Little Man'; and ';Fat Boy';.,FALSE,yes
TRUE/FALSE,easy,History,The Tiananmen Square protests of 1989 were held in Hong Kong.,FALSE,yes
TRUE/FALSE,hard,History,"The Battle of Trafalgar took place on October 23rd, 1805",FALSE,yes
TRUE/FALSE,medium,History,Theodore Roosevelt Jr. was the only General involved in the initial assault on D-Day.,TRUE,yes
TRUE/FALSE,easy,History,The Cold War ended with Joseph Stalin';s death.,FALSE,yes
TRUE/FALSE,medium,History,The first televised presidential debate was between Jimmy Carter and Gerald Ford.,FALSE,yes
TRUE/FALSE,medium,History,The Hundred Years'; War was fought for more than a hundred years.,TRUE,yes
TRUE/FALSE,easy,History,The United States Department of Homeland Security was formed in response to the September 11th attacks.,TRUE,yes
